,Unnamed: 0,pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,special-defense,speed
0,0,152,chikorita,grass,,"[['swords-dance', 'normal'], ['cut', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['counter', 'fighting'], ['leech-seed', 'grass'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['toxic', 'poison'], ['mimic', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['ancient-power', 'rock'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['magic-coat', 'psychic'], ['refresh', 'normal'], ['secret-power', 'normal'], ['aromatherapy', 'grass'], ['fake-tears', 'dark'], ['grass-whistle', 'grass'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['wring-out', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['echoed-voice', 'normal'], ['heal-pulse', 'psychic'], ['grass-pledge', 'grass'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['solar-blade', 'grass'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",45,49,65,49,65,45
1,1,153,bayleef,grass,,"[['swords-dance', 'normal'], ['cut', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['counter', 'fighting'], ['strength', 'normal'], ['leech-seed', 'grass'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['toxic', 'poison'], ['mimic', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['magic-coat', 'psychic'], ['knock-off', 'dark'], ['secret-power', 'normal'], ['aromatherapy', 'grass'], ['fake-tears', 'dark'], ['bullet-seed', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['echoed-voice', 'normal'], ['heal-pulse', 'psychic'], ['grass-pledge', 'grass'], ['work-up', 'normal'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['solar-blade', 'grass'], ['laser-focus', 'normal'], ['stomping-tantrum', 'ground'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",60,62,80,63,80,60
2,2,154,meganium,grass,,"[['swords-dance', 'normal'], ['cut', 'normal'], ['vine-whip', 'grass'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['hyper-beam', 'normal'], ['counter', 'fighting'], ['strength', 'normal'], ['leech-seed', 'grass'], ['razor-leaf', 'grass'], ['solar-beam', 'grass'], ['poison-powder', 'poison'], ['petal-dance', 'grass'], ['earthquake', 'ground'], ['toxic', 'poison'], ['mimic', 'normal'], ['double-team', 'normal'], ['light-screen', 'psychic'], ['reflect', 'psychic'], ['flash', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['outrage', 'dragon'], ['giga-drain', 'grass'], ['endure', 'normal'], ['charm', 'fairy'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['safeguard', 'normal'], ['encore', 'normal'], ['sweet-scent', 'normal'], ['iron-tail', 'steel'], ['synthesis', 'grass'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['facade', 'normal'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['ingrain', 'grass'], ['magic-coat', 'psychic'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['weather-ball', 'normal'], ['aromatherapy', 'grass'], ['fake-tears', 'dark'], ['bullet-seed', 'grass'], ['frenzy-plant', 'grass'], ['magical-leaf', 'grass'], ['natural-gift', 'normal'], ['worry-seed', 'grass'], ['seed-bomb', 'grass'], ['energy-ball', 'grass'], ['giga-impact', 'normal'], ['zen-headbutt', 'psychic'], ['rock-climb', 'normal'], ['leaf-storm', 'grass'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['round', 'normal'], ['echoed-voice', 'normal'], ['heal-pulse', 'psychic'], ['grass-pledge', 'grass'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['petal-blizzard', 'grass'], ['grassy-terrain', 'grass'], ['confide', 'normal'], ['solar-blade', 'grass'], ['laser-focus', 'normal'], ['stomping-tantrum', 'ground'], ['body-press', 'fighting'], ['grassy-glide', 'grass'], ['tera-blast', 'normal'], ['trailblaze', 'grass']]",80,82,100,83,100,80
3,3,155,cyndaquil,fire,,"[['cut', 'normal'], ['double-kick', 'fighting'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['submission', 'fighting'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['defense-curl', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['detect', 'fighting'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['nature-power', 'normal'], ['eruption', 'fire'], ['secret-power', 'normal'], ['crush-claw', 'normal'], ['overheat', 'fire'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['howl', 'normal'], ['covet', 'normal'], ['natural-gift', 'normal'], ['flare-blitz', 'fire'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['lava-plume', 'fire'], ['iron-head', 'steel'], ['captivate', 'normal'], ['flame-burst', 'fire'], ['flame-charge', 'fire'], ['round', 'normal'], ['incinerate', 'fire'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['work-up', 'normal'], ['wild-charge', 'electric'], ['play-rough', 'fairy'], ['confide', 'normal'], ['burn-up', 'fire'], ['burning-jealousy', 'fire'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",39,52,43,60,50,65
4,4,156,quilava,fire,,"[['cut', 'normal'], ['double-kick', 'fighting'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['strength', 'normal'], ['fire-spin', 'fire'], ['dig', 'ground'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['defense-curl', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['rest', 'psychic'], ['substitute', 'normal'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['rock-smash', 'fighting'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['nature-power', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['eruption', 'fire'], ['secret-power', 'normal'], ['overheat', 'fire'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['howl', 'normal'], ['covet', 'normal'], ['natural-gift', 'normal'], ['flare-blitz', 'fire'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['lava-plume', 'fire'], ['iron-head', 'steel'], ['captivate', 'normal'], ['flame-charge', 'fire'], ['round', 'normal'], ['incinerate', 'fire'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['work-up', 'normal'], ['wild-charge', 'electric'], ['play-rough', 'fairy'], ['confide', 'normal'], ['burn-up', 'fire'], ['burning-jealousy', 'fire'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",58,64,58,80,65,80
5,5,157,typhlosion,fire,,"[['mega-punch', 'normal'], ['fire-punch', 'fire'], ['thunder-punch', 'electric'], ['cut', 'normal'], ['double-kick', 'fighting'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['roar', 'normal'], ['ember', 'fire'], ['flamethrower', 'fire'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['solar-beam', 'grass'], ['fire-spin', 'fire'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['night-shade', 'ghost'], ['mimic', 'normal'], ['double-team', 'normal'], ['smokescreen', 'normal'], ['confuse-ray', 'ghost'], ['defense-curl', 'normal'], ['fire-blast', 'fire'], ['swift', 'normal'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['substitute', 'normal'], ['flame-wheel', 'fire'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['spite', 'ghost'], ['protect', 'normal'], ['mud-slap', 'ground'], ['detect', 'fighting'], ['endure', 'normal'], ['rollout', 'rock'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['sunny-day', 'fire'], ['shadow-ball', 'ghost'], ['rock-smash', 'fighting'], ['heat-wave', 'fire'], ['will-o-wisp', 'fire'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['nature-power', 'normal'], ['helping-hand', 'normal'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['eruption', 'fire'], ['secret-power', 'normal'], ['blast-burn', 'fire'], ['overheat', 'fire'], ['rock-tomb', 'rock'], ['extrasensory', 'psychic'], ['aerial-ace', 'flying'], ['howl', 'normal'], ['covet', 'normal'], ['calm-mind', 'psychic'], ['gyro-ball', 'steel'], ['natural-gift', 'normal'], ['fling', 'dark'], ['flare-blitz', 'fire'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['shadow-claw', 'ghost'], ['fire-fang', 'fire'], ['zen-headbutt', 'psychic'], ['rock-climb', 'normal'], ['lava-plume', 'fire'], ['iron-head', 'steel'], ['captivate', 'normal'], ['flame-charge', 'fire'], ['round', 'normal'], ['hex', 'ghost'], ['incinerate', 'fire'], ['inferno', 'fire'], ['fire-pledge', 'fire'], ['bulldoze', 'ground'], ['work-up', 'normal'], ['wild-charge', 'electric'], ['play-rough', 'fairy'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['laser-focus', 'normal'], ['throat-chop', 'dark'], ['burn-up', 'fire'], ['stomping-tantrum', 'ground'], ['burning-jealousy', 'fire'], ['poltergeist', 'ghost'], ['scorching-sands', 'ground'], ['tera-blast', 'normal'], ['temper-flare', 'fire']]",78,84,78,109,85,100
6,6,158,totodile,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['scratch', 'normal'], ['razor-wind', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['waterfall', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['flatter', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['superpower', 'fighting'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['mud-sport', 'ground'], ['fake-tears', 'dark'], ['rock-tomb', 'rock'], ['muddy-water', 'water'], ['aerial-ace', 'flying'], ['block', 'normal'], ['dragon-claw', 'dragon'], ['water-sport', 'water'], ['dragon-dance', 'dragon'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-tail', 'water'], ['shadow-claw', 'ghost'], ['ice-fang', 'ice'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['hone-claws', 'dark'], ['round', 'normal'], ['chip-away', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['liquidation', 'water'], ['breaking-swipe', 'dragon'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",50,65,64,44,48,43
7,7,159,croconaw,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['dig', 'ground'], ['toxic', 'poison'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['waterfall', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['flatter', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['superpower', 'fighting'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['fake-tears', 'dark'], ['rock-tomb', 'rock'], ['muddy-water', 'water'], ['aerial-ace', 'flying'], ['block', 'normal'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-tail', 'water'], ['shadow-claw', 'ghost'], ['ice-fang', 'ice'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['hone-claws', 'dark'], ['round', 'normal'], ['chip-away', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['work-up', 'normal'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['psychic-fangs', 'psychic'], ['liquidation', 'water'], ['breaking-swipe', 'dragon'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",65,80,80,59,63,58
8,8,160,feraligatr,water,,"[['mega-punch', 'normal'], ['ice-punch', 'ice'], ['scratch', 'normal'], ['swords-dance', 'normal'], ['cut', 'normal'], ['mega-kick', 'normal'], ['headbutt', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['thrash', 'normal'], ['double-edge', 'normal'], ['leer', 'normal'], ['bite', 'dark'], ['roar', 'normal'], ['water-gun', 'water'], ['hydro-pump', 'water'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['hyper-beam', 'normal'], ['low-kick', 'fighting'], ['counter', 'fighting'], ['seismic-toss', 'fighting'], ['strength', 'normal'], ['earthquake', 'ground'], ['dig', 'ground'], ['toxic', 'poison'], ['agility', 'psychic'], ['rage', 'normal'], ['mimic', 'normal'], ['screech', 'normal'], ['double-team', 'normal'], ['waterfall', 'water'], ['rest', 'psychic'], ['rock-slide', 'rock'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['flail', 'normal'], ['spite', 'ghost'], ['protect', 'normal'], ['scary-face', 'normal'], ['mud-slap', 'ground'], ['icy-wind', 'ice'], ['detect', 'fighting'], ['outrage', 'dragon'], ['endure', 'normal'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['iron-tail', 'steel'], ['metal-claw', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['crunch', 'dark'], ['ancient-power', 'rock'], ['rock-smash', 'fighting'], ['whirlpool', 'water'], ['uproar', 'normal'], ['hail', 'ice'], ['flatter', 'dark'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['helping-hand', 'normal'], ['superpower', 'fighting'], ['brick-break', 'fighting'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['dive', 'water'], ['hydro-cannon', 'water'], ['fake-tears', 'dark'], ['rock-tomb', 'rock'], ['muddy-water', 'water'], ['aerial-ace', 'flying'], ['block', 'normal'], ['dragon-claw', 'dragon'], ['dragon-dance', 'dragon'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['fling', 'dark'], ['aqua-tail', 'water'], ['dragon-pulse', 'dragon'], ['focus-blast', 'fighting'], ['giga-impact', 'normal'], ['avalanche', 'ice'], ['shadow-claw', 'ghost'], ['ice-fang', 'ice'], ['rock-climb', 'normal'], ['captivate', 'normal'], ['aqua-jet', 'water'], ['hone-claws', 'dark'], ['round', 'normal'], ['chip-away', 'normal'], ['scald', 'water'], ['water-pledge', 'water'], ['bulldoze', 'ground'], ['dragon-tail', 'dragon'], ['work-up', 'normal'], ['snarl', 'dark'], ['confide', 'normal'], ['power-up-punch', 'fighting'], ['psychic-fangs', 'psychic'], ['stomping-tantrum', 'ground'], ['liquidation', 'water'], ['breaking-swipe', 'dragon'], ['scale-shot', 'dragon'], ['lash-out', 'dark'], ['flip-turn', 'water'], ['tera-blast', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",85,105,100,79,83,78
9,9,161,sentret,normal,,"[['fire-punch', 'fire'], ['ice-punch', 'ice'], ['thunder-punch', 'electric'], ['scratch', 'normal'], ['cut', 'normal'], ['slam', 'normal'], ['headbutt', 'normal'], ['tackle', 'normal'], ['body-slam', 'normal'], ['take-down', 'normal'], ['double-edge', 'normal'], ['growl', 'normal'], ['flamethrower', 'fire'], ['surf', 'water'], ['ice-beam', 'ice'], ['blizzard', 'ice'], ['solar-beam', 'grass'], ['thunderbolt', 'electric'], ['thunder', 'electric'], ['dig', 'ground'], ['toxic', 'poison'], ['quick-attack', 'normal'], ['mimic', 'normal'], ['double-team', 'normal'], ['defense-curl', 'normal'], ['focus-energy', 'normal'], ['swift', 'normal'], ['amnesia', 'psychic'], ['fury-swipes', 'normal'], ['rest', 'psychic'], ['super-fang', 'normal'], ['slash', 'normal'], ['substitute', 'normal'], ['thief', 'dark'], ['snore', 'normal'], ['curse', 'ghost'], ['reversal', 'fighting'], ['protect', 'normal'], ['mud-slap', 'ground'], ['foresight', 'normal'], ['detect', 'fighting'], ['endure', 'normal'], ['charm', 'fairy'], ['rollout', 'rock'], ['swagger', 'normal'], ['fury-cutter', 'bug'], ['attract', 'normal'], ['sleep-talk', 'normal'], ['return', 'normal'], ['frustration', 'normal'], ['dynamic-punch', 'fighting'], ['baton-pass', 'normal'], ['pursuit', 'dark'], ['iron-tail', 'steel'], ['hidden-power', 'normal'], ['rain-dance', 'water'], ['sunny-day', 'fire'], ['shadow-ball', 'ghost'], ['whirlpool', 'water'], ['uproar', 'normal'], ['facade', 'normal'], ['focus-punch', 'fighting'], ['follow-me', 'normal'], ['helping-hand', 'normal'], ['trick', 'psychic'], ['assist', 'normal'], ['brick-break', 'fighting'], ['knock-off', 'dark'], ['endeavor', 'normal'], ['secret-power', 'normal'], ['hyper-voice', 'normal'], ['covet', 'normal'], ['shock-wave', 'electric'], ['water-pulse', 'water'], ['natural-gift', 'normal'], ['u-turn', 'bug'], ['fling', 'dark'], ['me-first', 'normal'], ['last-resort', 'normal'], ['sucker-punch', 'dark'], ['aqua-tail', 'water'], ['seed-bomb', 'grass'], ['shadow-claw', 'ghost'], ['captivate', 'normal'], ['grass-knot', 'grass'], ['charge-beam', 'electric'], ['hone-claws', 'dark'], ['round', 'normal'], ['echoed-voice', 'normal'], ['retaliate', 'normal'], ['work-up', 'normal'], ['play-rough', 'fairy'], ['confide', 'normal'], ['baby-doll-eyes', 'fairy'], ['power-up-punch', 'fighting'], ['brutal-swing', 'dark'], ['tera-blast', 'normal'], ['tidy-up', 'normal'], ['trailblaze', 'grass'], ['chilling-water', 'water']]",35,46,34,35,45,20
